index,Date,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
0,2020-03-03,0.55819196,0.94357723,0.6597938144329897,0.07216494845360824,0.25773195876288657,97,positive
1,2020-02-28,0.55773896,0.87529945,0.632,0.048,0.312,125,positive
2,2020-02-27,0.5767604,0.96450174,0.6875,0.0859375,0.21875,128,positive
3,2020-02-06,0.46469983,0.8728398,0.6022727272727273,0.11363636363636363,0.2727272727272727,88,positive
4,2020-01-31,0.13106695,0.0074942373,0.1,0.0,0.9,20,neutral
5,2020-01-30,0.5299754,0.7086673,0.5406976744186046,0.01744186046511628,0.436046511627907,172,positive
6,2020-01-28,0.60733616,0.95224345,0.6776859504132231,0.049586776859504134,0.2644628099173554,121,positive
7,2020-01-24,0.6962816,0.9758662,0.7571428571428571,0.04285714285714286,0.2,70,positive
8,2020-01-21,0.20378202,0.009932796,0.2727272727272727,0.06060606060606061,0.6666666666666666,33,neutral
9,2020-01-09,0.5459193,0.94653666,0.625,0.051470588235294115,0.3235294117647059,136,positive
10,2019-12-17,0.5846497,0.91035295,0.6,0.0,0.4,20,positive
11,2019-12-02,0.52212244,0.80552566,0.5666666666666667,0.03333333333333333,0.4,30,positive
12,2019-12-02,0.58048975,0.7894499,0.6153846153846154,0.0,0.3076923076923077,13,positive
13,2019-11-26,0.38900706,0.26925743,0.44776119402985076,0.04477611940298507,0.5074626865671642,67,neutral
14,2019-11-25,0.5303032,0.86945313,0.618421052631579,0.06578947368421052,0.3157894736842105,76,positive
15,2019-11-25,0.3755006,0.17786856,0.36363636363636365,0.0,0.625,88,neutral
16,2019-11-21,0.39498574,0.38954023,0.47126436781609193,0.06896551724137931,0.4482758620689655,87,positive
17,2019-11-20,0.50758034,0.8047634,0.5272727272727272,0.01818181818181818,0.45454545454545453,55,positive
18,2019-11-18,0.49799773,0.4743443,0.4375,0.0,0.5625,16,neutral
19,2019-11-18,0.5989432,0.9159627,0.5882352941176471,0.0,0.4117647058823529,51,positive
20,2019-11-18,0.29868546,0.017228514,0.30434782608695654,0.0,0.6956521739130435,23,neutral
21,2019-10-23,0.3152651,0.040848948,0.3541666666666667,0.041666666666666664,0.6041666666666666,48,neutral
22,2019-10-17,0.46372887,0.3083796,0.5,0.045454545454545456,0.45454545454545453,22,positive
23,2019-10-16,0.5399224,0.8742015,0.6142857142857143,0.05714285714285714,0.32857142857142857,70,positive
24,2019-10-11,0.30236542,0.1497591,0.39814814814814814,0.07407407407407407,0.5185185185185185,108,neutral
25,2019-10-11,0.4536426,0.23929249,0.4915254237288136,0.0,0.5084745762711864,59,neutral
