index,Date,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
0,2020-03-03,0.5692247,0.9297188,0.6701030927835051,0.08247422680412371,0.23711340206185566,97,positive
1,2020-02-28,0.57117474,0.8406165,0.624,0.04,0.336,125,positive
2,2020-02-27,0.60177225,0.9344954,0.71875,0.078125,0.1953125,128,positive
3,2020-02-06,0.49102223,0.8529248,0.6136363636363636,0.09090909090909091,0.2727272727272727,88,positive
4,2020-01-31,0.12635054,0.059077132,0.1,0.05,0.85,20,neutral
5,2020-01-30,0.50507116,0.69702584,0.5523255813953488,0.05232558139534884,0.38372093023255816,172,positive
6,2020-01-28,0.62412465,0.8981207,0.6859504132231405,0.04132231404958678,0.2727272727272727,121,positive
7,2020-01-24,0.68453985,0.9508929,0.7142857142857143,0.014285714285714285,0.24285714285714285,70,positive
8,2020-01-21,0.20506462,0.05330249,0.21212121212121213,0.06060606060606061,0.696969696969697,33,neutral
9,2020-01-09,0.5597863,0.9213211,0.6397058823529411,0.058823529411764705,0.29411764705882354,136,positive
10,2019-12-17,0.647254,0.83113873,0.7,0.0,0.3,20,positive
11,2019-12-02,0.4781723,0.54846764,0.5666666666666667,0.03333333333333333,0.4,30,positive
12,2019-12-02,0.4632629,0.6066376,0.5384615384615384,0.0,0.46153846153846156,13,positive
13,2019-11-26,0.4057842,0.6087712,0.5522388059701493,0.1044776119402985,0.34328358208955223,67,positive
14,2019-11-25,0.50714105,0.7753534,0.6052631578947368,0.05263157894736842,0.32894736842105265,76,positive
15,2019-11-25,0.40557238,0.34066555,0.42045454545454547,0.022727272727272728,0.5568181818181818,88,neutral
16,2019-11-21,0.320255,0.36308855,0.45977011494252873,0.13793103448275862,0.3793103448275862,87,positive
17,2019-11-20,0.46234614,0.5677908,0.5272727272727272,0.05454545454545454,0.4,55,positive
18,2019-11-18,0.4420465,0.43243134,0.5,0.0,0.5,16,neutral
19,2019-11-18,0.5880415,0.82716006,0.6078431372549019,0.0,0.39215686274509803,51,positive
20,2019-11-18,0.29044953,0.03584459,0.30434782608695654,0.0,0.6956521739130435,23,neutral
21,2019-10-23,0.30128834,0.12027982,0.3333333333333333,0.041666666666666664,0.625,48,neutral
22,2019-10-17,0.51086956,0.8350042,0.5454545454545454,0.045454545454545456,0.4090909090909091,22,positive
23,2019-10-16,0.6104593,0.9528446,0.6857142857142857,0.05714285714285714,0.24285714285714285,70,positive
24,2019-10-11,0.28573027,0.15023172,0.39814814814814814,0.08333333333333333,0.5092592592592593,108,neutral
25,2019-10-11,0.46126255,0.44619521,0.4745762711864407,0.01694915254237288,0.5084745762711864,59,neutral
26,2019-10-10,0.4605746,0.56612,0.5283018867924528,0.05660377358490566,0.4056603773584906,106,positive
27,2019-10-08,0.71833867,0.95559347,0.7857142857142857,0.03571428571428571,0.16666666666666666,84,positive
28,2019-09-25,0.4357251,0.3783815,0.44086021505376344,0.021505376344086023,0.5376344086021505,93,neutral
30,2019-09-24,0.6879,0.93190426,0.7706422018348624,0.027522935779816515,0.1926605504587156,109,positive
