speech_id,date,title,sentence_ix,text,p_neg,p_neu,p_pos,tok_len,tone,label
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,0,"The Manila Times President and CEO, Mr. Dante Ang II, my co-speakers and colleagues in the government service; distinguished speakers from the business community as well as The World Bank; ladies and gentlemen, good morning.",0.75998735,0.0,0.2400127,46,-0.51997465,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,1,It is a pleasure to be joining today's Business Forum to share the BSP's views on the macroeconomic developments and prospects for the Philippine economy at a time when the domestic economy is seeing both low inflation and robust economic growth.,0.7730505,0.0,0.22694953,50,-0.546101,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,2,In line with the conference theme and given that the other economic team members are here - allow me to share my insights on the economy's outlook for the year from the perspective of a central banker.,0.7741418,0.0,0.22585818,42,-0.5482836,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,3,"High and volatile inflation is undesirable because it leads to slower real economic growth and lower social welfare for most Filipinos, especially the poor.",0.73940206,0.0,0.260598,32,-0.47880405,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,4,"Until recently, the Philippines is characterized as high inflation and low growth.",0.76364374,0.0,0.23635623,16,-0.5272875,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,5,"In 2002, onward this trend was reversed.",0.74877644,0.0,0.25122356,11,-0.49755287,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,6,This development happened when BSP adopted the inflation targeting framework.,0.75084907,0.0,0.24915098,14,-0.5016981,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,7,"In recent years, we are seeing the generally sustained positive alignment of strong growth and low inflation which is what is needed to ensure that the economy can continue growing without having to worry about overheating.",0.77189857,0.0,0.22810143,42,-0.54379714,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,8,"The BSP, being the country's central monetary policy authority with the core mandate of promoting price stability, is committed to ensure that this non-inflation growth is sustained.",0.79576445,0.0,0.2042356,37,-0.59152883,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,9,"Manageable inflation along with expectations of within-target inflation over the policy horizon is expected to boost consumption demand, which has been consistently one of the key growth drivers of the domestic economy.",0.7649075,0.0,0.23509252,39,-0.52981496,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,10,"In 2019, headline inflation eased significantly, averaging 2.5 percent, lower than the 5.2 percent inflation in 2018.",0.75256556,0.0,0.24743444,27,-0.5051311,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,11,The deceleration was largely driven by slower price increases of rice and other selected food and energy items.,0.7546671,0.0,0.24533293,23,-0.5093342,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,12,Food inflation dropped to 1.8 percent year-on-year in 2019 from 6.6 percent in 2018 due to improving supply conditions.,0.7821452,0.0,0.2178548,30,-0.5642904,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,13,Rice prices declined in 2019 largely due to the Rice Tariffication Law and the continued arrival of rice imports.,0.75184846,0.0,0.24815153,23,-0.5036969,negative
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,14,"At the same time, inflation rates for meat, fish, oils, and fats, vegetables, as well as sweeteners posted slower price increases during the year.",0.75321287,0.0,0.24678709,36,-0.5064258,negative
