speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,-0.36176043614629866,-0.39181551337242126,0.20833333333333334,0.5625,0.20833333333333334,96.0,negative
1,2020-02-28,Finding Opportunities in a Borderless World,-0.12149268687600291,-0.14340704679489136,0.432,0.512,0.048,125.0,negative
2,2020-02-27,Gearing up for the Road Ahead: With Foresight and Purpose,-0.30398847364965115,-0.485687792301178,0.234375,0.5859375,0.1640625,128.0,negative
3,2020-02-06,A Strong Nation Amid A Slowing and Volatile World,-0.3111248870835669,-0.4369140565395355,0.25287356321839083,0.5747126436781609,0.14942528735632185,87.0,negative
4,2020-01-31,Welcome Dinner Remarks,0.39750635710734766,0.44769418239593506,0.6842105263157895,0.2631578947368421,0.05263157894736842,19.0,positive
5,2020-01-30,Accounting as the Language of Business: Some Perspectives from the Bangko Sentral,-0.03198693933641836,0.033092647790908813,0.503030303030303,0.45454545454545453,0.04242424242424243,165.0,positive
6,2020-01-28,"The Philippine Economy: Towards a More Inclusive, A-rated Economy",-0.1946904464858613,-0.30027756094932556,0.36363636363636365,0.5537190082644629,0.0743801652892562,121.0,negative
7,2020-01-24,"A Good 2019, A Better 2020",-0.26922026675494587,-0.3261486887931824,0.2857142857142857,0.6571428571428571,0.05714285714285714,70.0,negative
8,2020-01-21,Opening Remarks,0.5044593255377893,0.7530335187911987,0.7,0.2,0.06666666666666667,30.0,positive
9,2020-01-09,"The Philippine Economy in 2020: Looking Back, Moving Forward",-0.21753332206457685,-0.20285606384277344,0.3333333333333333,0.5259259259259259,0.11851851851851852,135.0,negative
10,2019-12-17,Speech for the Governor,0.24129622934970396,0.49864915013313293,0.65,0.35,0.0,20.0,positive
11,2019-12-02,Presentation at the Digital Payments Leaders Summit,-0.08045916701829074,-0.013990208506584167,0.5,0.5,0.0,30.0,positive
12,2019-12-02,Opening Statement,-0.27317537239114326,-0.11509165167808533,0.38461538461538464,0.6153846153846154,0.0,13.0,negative
13,2019-11-26,Keynote CMA: on BSP's 3-pronged approach to MSME financing,0.08627258965133638,0.2522810101509094,0.5373134328358209,0.373134328358209,0.05970149253731343,67.0,positive
14,2019-11-25,Speech of Governor Benjamin E. Diokno on the 4th International Islamic Finance Conference,0.2317734634002241,0.415968120098114,0.6216216216216216,0.3108108108108108,0.05405405405405406,74.0,positive
